,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Qaanaaq,0,GL,1551300806,81,77.48,-69.36,-28.46,1.06
1,Swan River,56,CA,1551300807,78,52.11,-101.27,-8.93,6.11
2,Vaini,0,IN,1551300807,79,15.34,74.49,13.45,0.86
3,Barrow,80,AR,1551300807,75,-38.31,-60.23,16.47,6.41
4,Provideniya,92,RU,1551300808,92,64.42,-173.23,-0.56,15.21
5,Hamilton,75,BM,1551300351,48,32.3,-64.78,18.0,1.5
6,Vedeno,90,RU,1551297600,93,42.97,46.1,3.0,4.0
7,Rikitea,64,PF,1551300720,100,-23.12,-134.97,26.6,4.36
8,Avarua,0,CK,1551299400,74,-21.21,-159.78,28.0,5.1
9,Barcelona,0,ES,1551300254,93,41.38,2.18,15.0,3.6
10,Takoradi,76,GH,1551300809,95,4.89,-1.75,28.7,3.86
11,Albany,90,US,1551300619,48,42.65,-73.75,-7.78,1.46
12,Hilo,90,US,1551300683,73,19.71,-155.08,21.67,4.6
13,Hithadhoo,24,MV,1551300646,100,-0.6,73.08,27.52,4.01
14,Vestmannaeyjar,48,IS,1551300810,93,63.44,-20.27,4.57,5.21
15,Kodiak,20,US,1551300725,67,39.95,-94.76,-5.0,7.7
16,Port Blair,0,IN,1551300716,100,11.67,92.75,28.2,3.91
17,Jingdezhen,24,CN,1551300814,96,29.29,117.2,3.22,1.41
18,Punta Arenas,75,CL,1551300193,66,-53.16,-70.91,12.0,12.9
19,Lompoc,90,US,1551300699,76,34.64,-120.46,15.56,5.7
20,Castro,0,CL,1551297600,67,-42.48,-73.76,17.0,3.1
21,Ushuaia,75,AR,1551297600,87,-54.81,-68.31,10.0,12.9
22,Trairi,68,BR,1551300815,100,-3.28,-39.27,26.45,2.01
23,Puerto Ayora,75,EC,1551297600,70,-0.74,-90.35,30.0,3.6
24,Cape Town,20,ZA,1551300754,68,-33.93,18.42,19.44,3.1
25,Webster Groves,90,US,1551300631,80,38.59,-90.36,5.56,5.1
26,Nouadhibou,0,MR,1551297600,43,20.93,-17.03,23.0,4.6
27,Mar del Plata,0,AR,1551300710,32,-46.43,-67.52,23.67,0.26
28,Ponta do Sol,36,BR,1551300817,88,-20.63,-46.0,24.05,1.31
29,Hermanus,8,ZA,1551300463,78,-34.42,19.24,18.33,4.02
30,Beringovskiy,88,RU,1551300817,95,63.05,179.32,-2.41,3.41
31,Meulaboh,36,ID,1551300818,100,4.14,96.13,26.37,1.56
32,Hobart,0,AU,1551300674,82,-42.88,147.33,13.33,2.6
33,Udachnyy,64,RU,1551300818,70,66.42,112.4,-13.48,1.86
34,Victoria,75,BN,1551299400,94,5.28,115.24,24.0,3.11
35,Port Elizabeth,90,US,1551300802,69,39.31,-74.98,3.89,5.1
36,Sehithwa,20,BW,1551300819,49,-20.47,22.7,26.3,2.91
37,Maymyo,0,MM,1551300820,87,22.03,96.47,12.95,0.76
38,Saldanha,0,PT,1551300820,83,41.42,-6.55,4.52,0.76
39,Diu,0,IN,1551300820,33,20.71,70.98,16.92,3.66
40,Carnarvon,24,ZA,1551300820,27,-30.97,22.13,16.8,4.31
41,Khatanga,64,RU,1551300821,66,71.98,102.47,-22.98,3.91
42,Busselton,0,AU,1551300607,45,-33.64,115.35,19.44,6.26
43,Atuona,32,PF,1551300767,100,-9.8,-139.03,27.05,2.31
44,Majene,36,ID,1551300822,99,-3.54,118.97,27.7,0.26
45,Roald,75,NO,1551300603,80,62.58,6.12,5.0,7.2
46,Portland,90,US,1551300624,64,45.52,-122.67,2.22,8.7
47,Nikolskoye,75,RU,1551300645,80,59.7,30.79,2.22,5.0
48,Airai,56,TL,1551300763,93,-8.93,125.41,21.1,0.71
49,Cervo,40,BR,1551297600,94,-22.19,-46.24,23.0,1.0
50,Ormara,12,PK,1551300824,87,25.21,64.64,19.8,3.91
51,Mataura,88,NZ,1551300608,74,-46.19,168.86,11.11,4.02
52,Risod,0,IN,1551300824,32,19.98,76.79,18.57,5.06
53,Norman Wells,75,CA,1551297600,67,65.28,-126.83,-6.0,3.1
54,Bredasdorp,48,ZA,1551300463,59,-34.53,20.04,18.33,7.7
55,Ostrovnoy,88,RU,1551300825,88,68.05,39.51,-6.78,5.56
56,Carutapera,92,BR,1551300829,88,-1.2,-46.02,25.95,3.16
57,Sinnamary,92,GF,1551300829,89,5.38,-52.96,26.97,5.91
58,Sao Joao da Barra,75,BR,1551297600,66,-21.64,-41.05,30.0,7.2
59,Vila Franca do Campo,75,PT,1551300673,100,37.72,-25.43,16.0,6.2
60,Brooks,0,CA,1551300830,82,50.57,-111.89,-8.23,3.56
61,Saint George,40,GR,1551297000,80,39.45,22.34,5.0,0.96
62,Jamestown,0,AU,1551300552,66,-33.21,138.6,18.2,3.91
63,Leningradskiy,0,RU,1551300831,80,69.38,178.42,-9.38,6.51
64,Bluff,44,AU,1551300831,62,-23.58,149.07,20.57,5.51
65,North Bend,90,US,1551300817,65,43.41,-124.22,7.22,5.7
66,Butaritari,64,KI,1551300832,100,3.07,172.79,27.27,7.16
67,Pakruojis,24,LT,1551298800,93,55.98,23.85,2.0,6.7
68,Sudak,64,UA,1551300853,100,44.85,34.97,0.02,3.01
69,Longido,8,TZ,1551300854,65,-2.73,36.7,19.07,3.11
70,Alken,0,BE,1551300844,58,50.88,5.31,12.0,2.6
71,Victoriaville,75,CA,1551300609,65,46.06,-71.95,-13.33,7.2
72,Puri,40,ID,1551297600,100,-7.54,112.45,26.0,2.1
73,Sola,0,FI,1551300726,96,62.78,29.36,1.67,3.1
74,Geraldton,75,CA,1551297600,51,49.72,-86.95,-11.0,4.6
75,Adre,24,TD,1551300856,29,13.47,22.2,26.12,4.86
76,Vardo,90,US,1551300754,64,39.62,-77.74,7.78,4.1
77,Fukue,75,JP,1551300837,81,35.03,136.69,12.22,6.2
78,Carndonagh,32,IE,1551298800,93,55.25,-7.27,6.0,3.1
79,Talara,0,PE,1551297600,290,-4.58,-81.27,17.0,4.6
80,Kapaa,90,US,1551300498,56,22.08,-159.32,22.78,10.8
81,Kichmengskiy Gorodok,68,RU,1551300858,74,59.99,45.81,-13.81,3.11
82,Fortuna,0,ES,1551300757,71,38.18,-1.13,13.89,1.5
83,Ilulissat,5,GL,1551297000,45,69.22,-51.1,-3.0,7.7
84,New Norfolk,0,AU,1551300734,82,-42.78,147.06,13.33,2.6
85,Eregli,88,TR,1551300859,93,37.51,34.05,-1.43,2.01
86,Sovetskiy,88,RU,1551300860,92,56.76,48.47,-3.83,3.61
87,Saskylakh,64,RU,1551300860,82,71.97,114.09,-28.58,1.41
88,Urucara,80,BR,1551300587,76,-2.54,-57.76,28.05,1.26
89,Muros,0,ES,1551300751,93,42.77,-9.06,12.78,3.1
90,Bireun,0,ID,1551300860,100,5.2,96.7,27.35,3.31
91,Thompson,90,CA,1551300420,72,55.74,-97.86,-10.0,3.6
92,Charters Towers,8,AU,1551300861,85,-20.07,146.27,19.42,2.66
93,Guerrero Negro,24,MX,1551300767,59,27.97,-114.04,18.67,5.91
94,Inhambane,20,MZ,1551300861,96,-23.87,35.38,26.45,3.41
95,Kysyl-Syr,48,RU,1551300862,81,63.9,122.77,-19.03,1.26
96,Ancud,0,CL,1551297600,67,-41.87,-73.83,17.0,3.1
97,Sinop,88,TR,1551300863,100,42.03,35.15,4.8,5.16
98,Maceio,40,BR,1551297600,70,-9.67,-35.74,29.0,7.7
99,Dikson,56,RU,1551300762,91,73.51,80.55,-17.43,15.61
100,San Felipe,0,CL,1551300849,20,-32.75,-70.73,31.67,1.34
101,Lorengau,92,PG,1551300786,100,-2.02,147.27,25.95,2.36
102,Poykovskiy,0,RU,1551297600,83,61.23,73.33,-21.0,3.0
103,Batagay-Alyta,0,RU,1551300868,47,67.8,130.41,-35.13,1.66
104,Georgetown,75,GY,1551297600,78,6.8,-58.16,27.0,7.2
105,Palmerston,90,CA,1551300672,85,43.83,-80.85,-7.22,6.7
106,Darnah,88,LY,1551300869,100,32.77,22.64,13.3,6.21
107,Tuktoyaktuk,20,CA,1551297600,77,69.44,-133.03,-19.0,6.2
108,Chokurdakh,80,RU,1551300759,70,70.62,147.9,-23.58,5.71
109,Evanston,36,US,1551300698,63,42.04,-87.69,0.0,4.1
110,Upernavik,0,GL,1551300870,100,72.79,-56.15,-14.83,9.96
111,Bhatkal,0,IN,1551300870,100,13.97,74.57,26.47,6.51
112,Margate,0,AU,1551300854,82,-43.03,147.26,13.33,2.6
113,Coihaique,0,CL,1551297600,45,-45.58,-72.07,20.0,1.0
114,Port Alfred,32,ZA,1551300680,83,-33.59,26.89,17.22,1.34
115,Banfora,0,BF,1551300871,25,10.64,-4.75,24.1,4.91
116,Wangqing,0,CN,1551300872,73,43.31,129.76,-9.53,1.36
117,Flin Flon,90,CA,1551297600,79,54.77,-101.88,-6.0,5.1
118,Te Anau,64,NZ,1551300872,95,-45.41,167.72,6.05,1.56
119,Lagoa,0,PT,1551300730,87,37.14,-8.45,15.0,2.6
120,Yellowknife,20,CA,1551300431,55,62.45,-114.38,-12.0,5.7
121,Paamiut,76,GL,1551300873,77,61.99,-49.67,1.82,4.91
122,Ribeira Grande,40,PT,1551297600,93,38.52,-28.7,16.0,4.6
123,Arraial do Cabo,20,BR,1551297600,70,-22.97,-42.02,31.0,4.6
124,Surgut,0,RU,1551297600,83,61.25,73.4,-21.0,3.0
125,Mamit,92,IN,1551300874,98,23.92,92.49,17.07,0.96
126,Inyonga,48,TZ,1551300875,95,-6.72,32.06,18.02,0.81
127,Eydhafushi,24,MV,1551300875,100,5.1,73.07,27.2,1.96
128,Hervey Bay,40,AU,1551300308,72,-25.3,152.85,22.78,3.6
129,Atikokan,0,CA,1551300876,57,48.76,-91.62,-11.96,3.46
130,Oranjemund,0,ZA,1551300876,93,-28.55,16.43,17.7,10.76
131,Laguna de Duero,0,ES,1551300633,76,41.58,-4.72,11.67,1.5
132,Sonamura,92,IN,1551300877,96,23.47,91.27,17.97,2.01
133,Menongue,80,AO,1551300836,60,-14.66,17.68,20.8,1.11
134,Ponnani,40,IN,1551299400,74,10.77,75.93,26.0,2.1
135,Galesong,20,ID,1551297600,100,-5.32,119.37,24.0,0.5
136,Glendive,1,US,1551298500,60,47.11,-104.71,-13.0,5.1
137,Mega,0,ET,1551300878,28,4.06,38.32,19.8,4.01
138,Gueret,0,FR,1551300620,33,46.17,1.87,15.0,2.1
139,Middelkerke,0,BE,1551300841,93,51.19,2.82,10.0,1.0
140,Iqaluit,5,CA,1551300768,70,63.75,-68.52,-18.89,7.7
141,Champerico,20,MX,1551296700,22,16.38,-93.6,32.0,0.81
142,Boralday,75,KZ,1551299400,86,43.36,76.86,-3.0,3.0
143,Port Shepstone,76,ZA,1551300880,91,-30.74,30.45,21.8,1.61
144,Nishihara,75,JP,1551300839,61,35.74,139.53,8.89,5.7
145,Kahului,40,US,1551300664,53,20.89,-156.47,24.0,6.2
146,Brenham,90,US,1551300871,94,30.17,-96.4,25.0,2.6
147,Bethel,1,US,1551297360,86,60.79,-161.76,2.0,9.8
148,Faanui,88,PF,1551300882,100,-16.48,-151.75,28.45,4.81
149,Honningsvag,90,NO,1551298800,92,70.98,25.97,-5.0,12.3
150,Wanaka,32,NZ,1551300883,52,-44.7,169.14,7.72,0.86
151,Luderitz,0,NA,1551300844,70,-26.65,15.16,17.82,8.81
152,Saint-Philippe,90,CA,1551300826,38,45.36,-73.48,-11.67,2.31
153,Gat,0,SN,1551299400,46,14.69,-16.54,21.0,6.7
154,Englewood,75,US,1551300623,100,39.65,-104.99,9.44,3.1
155,Longyearbyen,75,NO,1551297000,59,78.22,15.63,-16.0,1.5
156,Tasiilaq,80,GL,1551297000,96,65.61,-37.64,0.0,7.7
157,Petrivka,68,UA,1551300885,96,48.39,37.78,-2.48,2.26
158,Visnes,75,NO,1551300715,100,59.36,5.22,5.56,5.7
159,Kholtoson,0,RU,1551300885,49,50.3,103.31,-21.46,1.16
160,Songjianghe,36,CN,1551300885,79,42.18,127.48,-5.88,2.01
161,Permet,0,AL,1551300886,81,40.23,20.35,-7.71,0.76
162,Gbarnga,20,LR,1551300886,42,7.0,-9.47,29.3,2.21
163,Mikhaylovka,20,RU,1551300887,65,52.96,103.29,-13.83,1.61
164,Yar-Sale,56,RU,1551300887,81,66.83,70.83,-15.91,10.76
165,Quzhou,92,CN,1551300887,100,28.97,118.86,6.87,1.61
166,Tacoma,75,US,1551300881,55,47.25,-122.44,7.22,3.1
167,Ihosy,56,MG,1551300888,97,-22.4,46.13,18.85,1.06
168,Storforshei,75,NO,1551300823,86,66.4,14.52,3.0,6.7
169,Gloversville,90,US,1551300625,61,43.05,-74.34,-10.57,2.6
170,Marrakesh,0,MA,1551299400,63,31.63,-7.99,18.0,4.6
171,Lata,56,IN,1551300889,100,30.78,78.62,-4.28,0.86
172,Talnakh,0,RU,1551300889,43,69.49,88.39,-33.43,1.96
173,Port Lincoln,8,AU,1551300857,100,-34.72,135.86,16.87,2.96
174,Kaitangata,64,NZ,1551300741,77,-46.28,169.85,11.11,4.47
175,Karratha,0,AU,1551300890,93,-20.74,116.85,25.37,2.41
176,Nanortalik,8,GL,1551300890,89,60.14,-45.24,1.82,24.26
177,East London,0,ZA,1551300867,100,-33.02,27.91,21.55,6.91
178,Prado,32,BR,1551300891,97,-17.34,-39.22,28.3,7.61
179,Cherskiy,88,RU,1551300868,80,68.75,161.3,-18.88,3.16
180,Husavik,0,CA,1551300852,73,50.56,-96.99,-11.67,2.24
181,Camenca,56,MD,1551300325,86,47.82,27.37,1.11,0.89
182,Poum,0,MK,1551300892,82,41.28,20.71,-6.78,0.76
183,Pisco,0,PE,1551297600,30,-13.71,-76.2,22.0,4.6
184,Taksimo,56,RU,1551300892,66,56.36,114.84,-13.53,1.01
185,Boa Vista,0,BR,1551300680,33,2.82,-60.67,34.37,6.01
186,Manzhouli,0,CN,1551300894,63,49.6,117.43,-13.63,2.71
187,Kavaratti,0,IN,1551300894,100,10.57,72.64,28.02,5.06
188,Dingle,0,PH,1551300847,80,11.0,122.67,22.1,5.26
189,Jumla,64,NP,1551300894,92,29.28,82.18,-9.38,0.81
190,Kaeo,24,NZ,1551300180,100,-35.1,173.78,17.78,5.71
191,Saint-Augustin,0,FR,1551300847,50,44.83,-0.61,13.33,3.6
192,Chihuahua,75,MX,1551300844,17,28.66,-106.08,24.44,1.81
193,Itaquyry,8,PY,1551300896,77,-24.93,-55.22,25.85,1.46
194,Pangai,48,TO,1551297600,89,-19.8,-174.35,29.0,6.2
195,Praia,75,BR,1551297600,45,-20.25,-43.81,31.0,3.1
196,Shubarshi,48,KZ,1551300897,68,48.59,57.19,-9.33,1.46
197,Olean,90,US,1551300612,79,42.08,-78.43,0.56,2.6
198,Saint-Pierre,0,FR,1551300725,65,48.95,4.24,8.0,3.1
199,Kalispell,75,US,1551300843,44,48.2,-114.32,-6.67,1.31
200,Vallenar,12,CL,1551300898,63,-28.58,-70.76,23.02,1.21
201,Hambantota,80,LK,1551300897,100,6.12,81.12,24.55,2.41
202,Tymovskoye,76,RU,1551300899,74,50.85,142.66,-11.56,1.06
203,Natal,40,BR,1551297600,66,-5.81,-35.21,30.0,5.7
204,Zhezkazgan,88,KZ,1551300900,94,47.8,67.71,-2.21,2.36
205,Bitung,20,ID,1551299400,94,1.44,125.19,21.0,1.0
206,Okato,24,NZ,1551300104,56,-39.19,173.88,17.22,4.02
207,Salekhard,56,RU,1551300900,73,66.54,66.62,-14.71,7.61
208,Tankara,0,IN,1551300600,22,22.66,70.75,22.78,3.91
209,Beaucaire,0,FR,1551300732,87,43.81,4.64,11.67,3.1
210,Krasnogvardeyskoye,88,RU,1551300901,95,45.84,41.51,0.2,1.76
211,Ust-Kuyga,12,RU,1551300902,69,70.0,135.55,-38.18,1.41
212,Belmonte,8,PT,1551300351,83,40.36,-7.35,10.56,1.11
213,College,1,US,1551300657,83,64.86,-147.8,-6.11,1.51
214,Khandagayty,0,MN,1551300902,58,50.73,92.07,-23.53,1.36
215,Barcelos,0,PT,1551300424,93,41.53,-8.62,12.78,0.96
216,Severo-Kurilsk,56,RU,1551300890,100,50.68,156.12,-3.83,10.76
217,Lebu,0,ET,1551297600,29,8.96,38.73,19.0,4.1
218,Bambous Virieux,75,MU,1551300841,83,-20.34,57.76,27.22,1.5
219,Seoul,1,KR,1551297480,92,37.57,126.98,1.0,1.06
220,Samoylovka,92,RU,1551299610,94,51.19,43.71,-0.57,0.45
221,Nauta,8,PE,1551300904,50,-4.51,-73.58,33.22,1.61
222,Mildura,0,AU,1551300356,35,-34.18,142.16,22.0,2.1
223,Souillac,0,FR,1551300847,41,45.6,-0.6,15.0,2.1
224,Carauari,44,BR,1551300908,75,-4.88,-66.9,28.42,2.46
225,Calmar,75,CA,1551300815,58,53.27,-113.81,-1.11,5.7
226,Basco,90,US,1551300810,73,40.33,-91.2,-2.78,5.7
227,Riacho de Santana,24,BR,1551300910,70,-13.61,-42.94,28.52,1.31
228,Bathsheba,40,BB,1551297600,62,13.22,-59.52,29.0,8.2
229,La Ronge,90,CA,1551299160,73,55.1,-105.3,-7.0,5.7
230,Cayenne,92,GF,1551299400,61,4.94,-52.33,28.0,4.6
231,Rawson,0,AR,1551300911,28,-43.3,-65.11,24.37,4.31
232,Cabo San Lucas,75,MX,1551300603,57,22.89,-109.91,28.0,5.1
233,Nabire,92,ID,1551300912,97,-3.36,135.5,20.67,0.51
234,Haines Junction,0,CA,1551300885,83,60.75,-137.51,-11.21,0.51
235,Kastamonu,64,TR,1551300912,88,41.38,33.78,-3.33,1.96
236,Bukachacha,0,RU,1551300914,66,52.99,116.91,-15.78,1.71
237,Westport,20,IE,1551300608,90,53.8,-9.52,7.78,2.68
238,Arawa,36,NG,1551300914,89,7.05,3.9,25.12,1.96
239,Kruisfontein,44,ZA,1551300914,78,-34.0,24.73,16.95,6.11
240,Tawang,92,BT,1551300915,76,27.59,91.87,-1.66,0.61
241,Aden,0,YE,1551300690,95,12.79,45.03,26.07,5.26
242,Anchorage,75,US,1551300865,85,61.22,-149.89,-3.33,1.31
243,Puerto del Rosario,20,ES,1551299400,77,28.5,-13.86,18.0,7.2
244,Sassandra,36,CI,1551300916,98,4.95,-6.09,27.52,4.51
245,Kyren,20,RU,1551300917,45,51.68,102.13,-20.56,0.86
246,Zhangye,0,CN,1551300890,71,38.94,100.46,-10.56,2.21
247,Gizo,75,IL,1551300916,87,31.8,34.94,15.0,4.1
248,Marawi,0,PH,1551300363,86,8.0,124.29,18.89,2.24
249,Daru,56,SL,1551300918,50,7.99,-10.85,28.52,1.31
250,Nioro,0,GM,1551300919,23,13.79,-15.05,23.32,4.91
251,Ambanja,64,MG,1551300919,96,-13.68,48.45,22.52,1.06
252,Lavrentiya,92,RU,1551300766,96,65.58,-170.99,-1.43,17.26
253,Bushehr,90,IR,1551297600,59,28.97,50.84,17.0,6.2
254,Pevek,8,RU,1551300770,69,69.7,170.27,-10.48,12.91
255,Hovd,75,NO,1551300902,80,63.83,10.7,5.56,14.9
256,Atasu,80,KZ,1551300920,89,48.68,71.64,-4.41,1.41
257,Mirabad,24,IR,1551300921,56,28.27,61.33,10.1,7.41
258,Saint-Francois,0,FR,1551299400,86,46.42,3.91,5.0,1.5
259,Vila Velha,40,BR,1551300502,78,-3.71,-38.6,27.22,3.1
260,Mehamn,40,NO,1551298800,79,71.03,27.85,-5.0,11.3
261,Sosua,20,DO,1551300658,62,19.77,-70.52,29.0,7.2
262,Ayorou,0,NE,1551300922,15,14.73,0.92,19.45,4.81
263,Obo,32,CF,1551300882,90,5.39,26.49,20.87,1.11
264,Tura,92,IN,1551300755,96,25.52,90.21,14.55,1.96
265,Ocampo,56,PH,1551300922,93,13.56,123.37,23.32,4.01
266,Ballina,0,IE,1551300608,99,54.11,-9.15,7.78,2.56
267,Kasamwa,24,TZ,1551300923,83,-2.84,32.42,18.17,1.96
268,Walvis Bay,0,NA,1551297730,68,-22.95,14.51,19.44,3.6
269,Sambava,92,MG,1551300923,100,-14.27,50.17,24.45,3.46
270,Puerto Madryn,0,AR,1551300924,61,-42.77,-65.04,20.55,2.46
271,Mao,40,DO,1551300658,61,19.55,-71.08,29.0,7.7
272,Port Keats,20,AU,1551300924,100,-14.25,129.55,24.7,3.96
273,Clyde River,5,CA,1551297600,75,70.47,-68.59,-27.0,2.6
274,Sangmelima,68,CM,1551300925,93,2.93,11.98,21.42,0.96
275,Kurayoshi,90,JP,1551300518,87,35.43,133.83,6.0,1.0
276,Komsomolskiy,12,RU,1551300926,47,67.55,63.78,-22.81,2.31
277,Athabasca,8,CA,1551300694,84,54.72,-113.29,-5.81,6.11
278,Nishiwaki,75,JP,1551300688,93,35.01,135.0,9.44,2.6
279,Oksfjord,0,NO,1551300608,63,70.24,22.35,-3.0,6.2
280,Biak,92,ID,1551300927,99,-0.91,122.88,25.62,1.11
281,Ouango,36,CD,1551300928,96,4.31,22.55,22.37,1.16
282,Sankt Polten,0,AT,1551300909,67,48.2,15.63,8.89,1.41
283,Grafenau,0,DE,1551300925,86,48.86,13.39,7.22,1.01
284,Wijchen,0,NL,1551300692,81,51.81,5.74,10.56,3.1
285,Prince Rupert,1,CA,1551297600,39,54.32,-130.32,9.0,2.6
286,Sept-Iles,75,CA,1551297600,46,50.2,-66.38,-12.0,8.2
287,Tiksi,0,RU,1551300769,33,71.64,128.87,-30.73,2.46
288,Lichuan,44,CN,1551300930,87,30.3,108.94,0.32,1.01
289,San Patricio,20,PY,1551300930,51,-26.98,-56.83,25.77,2.56
290,Ouesso,80,CG,1551300930,98,1.61,16.05,22.22,1.81
291,Grindavik,75,IS,1551299400,81,63.84,-22.43,6.0,8.2
292,Makhachkala,40,RU,1551297600,80,42.98,47.5,5.0,5.0
293,Lokosovo,68,RU,1551300934,83,61.13,74.84,-16.18,2.46
